image,Accuracy,IoU,Precision,Recall,Dice,AUC
01_test,0.9485285878181458,0.6974008083343506,0.7525091171264648,0.9049707651138306,0.8217279314994812,0.984662999453371
02_test,0.9558126330375671,0.7479408979415894,0.8372719883918762,0.8751593828201294,0.8557965755462646,0.9858718437302884
03_test,0.9313197135925293,0.5460720658302307,0.936385989189148,0.5671105980873108,0.7063992619514465,0.9632127156689557
04_test,0.9564323425292969,0.7178910970687866,0.8400812149047852,0.8315262198448181,0.8357818126678467,0.9762996004641702
05_test,0.9541487693786621,0.7002755999565125,0.8611170053482056,0.7894362211227417,0.8237200975418091,0.9734977165988322
06_test,0.9502986669540405,0.6862391233444214,0.8628149032592773,0.7702850103378296,0.8139286041259766,0.9726681885473283
07_test,0.9548698663711548,0.6900452375411987,0.883853018283844,0.7588574886322021,0.8165997266769409,0.9747640115836692
08_test,0.9528519511222839,0.6642534136772156,0.8635485768318176,0.7421497106552124,0.798259973526001,0.9758506611586442
09_test,0.9579021334648132,0.6766640543937683,0.8736388087272644,0.7500748038291931,0.807155191898346,0.9760964529506826
10_test,0.9537768363952637,0.6835130453109741,0.7895212769508362,0.8358132243156433,0.8120080232620239,0.9775020461843622
11_test,0.9511706829071045,0.682977557182312,0.8117949962615967,0.8114651441574097,0.8116300106048584,0.9743640782072586
12_test,0.9576151371002197,0.7143406867980957,0.8204047083854675,0.8467532396316528,0.8333707451820374,0.9834318926007146
13_test,0.953406572341919,0.7140082120895386,0.8461440205574036,0.8205382823944092,0.8331444263458252,0.9778385270407113
14_test,0.956108808517456,0.7015594840049744,0.7796774506568909,0.8750328421592712,0.8246076703071594,0.98409066943901
15_test,0.9597395062446594,0.6894820928573608,0.7759074568748474,0.8609181642532349,0.8162052631378174,0.9840276918402701
16_test,0.9564986228942871,0.7168786525726318,0.828433632850647,0.8418650031089783,0.8350952863693237,0.984744804571152
17_test,0.9533167481422424,0.6728507876396179,0.8319140672683716,0.7787153124809265,0.8044361472129822,0.9793098072579618
18_test,0.9526386857032776,0.67982417345047,0.7525810599327087,0.8754972219467163,0.8093991875648499,0.9843596636132951
19_test,0.9544215202331543,0.7122390270233154,0.7478499412536621,0.9373332858085632,0.8319387435913086,0.9891945710080898
20_test,0.9556176662445068,0.6815515756607056,0.7437538504600525,0.8907022476196289,0.8106222748756409,0.9863047974339574
