epoch,lr,Train loss,Val loss VessShape,Accuracy VessShape,IoU VessShape,Precision VessShape,Recall VessShape,Dice VessShape,Val loss DRIVE,Accuracy DRIVE,IoU DRIVE,Precision DRIVE,Recall DRIVE,Dice DRIVE,Val loss VessMAP,Accuracy VessMAP,IoU VessMAP,Precision VessMAP,Recall VessMAP,Dice VessMAP
0,0.01,0.38639774918556213,0.6732409596443176,0.7689590454101562,0.024686360731720924,0.7293681502342224,0.02493462711572647,0.04796795919537544,0.45270150899887085,0.8533908128738403,0.006980528589338064,0.04878382757306099,0.008088873699307442,0.01386312860995531,0.6732409596443176,0.7689590454101562,0.024686360731720924,0.7293681502342224,0.02493462711572647,0.04796795919537544
1,0.009000000000000001,0.279664009809494,0.45568954944610596,0.8272431492805481,0.3058314621448517,0.8799864649772644,0.3286828100681305,0.45981481671333313,2.3128662109375,0.26420849561691284,0.1187858134508133,0.12294093519449234,0.7802316546440125,0.21227562427520752,0.45568954944610596,0.8272431492805481,0.3058314621448517,0.8799864649772644,0.3286828100681305,0.45981481671333313
2,0.008000000000000002,0.23911304771900177,0.24620147049427032,0.9023882746696472,0.6220116019248962,0.8818407654762268,0.6868377327919006,0.7659643292427063,2.7207894325256348,0.23565447330474854,0.11110446602106094,0.11536413431167603,0.7517160773277283,0.19992978870868683,0.2462015002965927,0.9023882746696472,0.6220116019248962,0.8818407654762268,0.6868377327919006,0.7659643292427063
3,0.007000000000000001,0.20097066462039948,0.373477578163147,0.8801409602165222,0.5860474705696106,0.7940414547920227,0.7171170115470886,0.7377768158912659,8.73355770111084,0.13125088810920715,0.127435564994812,0.12750059366226196,0.9959837794303894,0.2259722203016281,0.373477578163147,0.8801409602165222,0.5860474705696106,0.7940414547920227,0.7171170115470886,0.7377768158912659
4,0.006000000000000001,0.1889933943748474,0.3073076009750366,0.8817901611328125,0.6120259165763855,0.7539255619049072,0.7843398451805115,0.7582246661186218,6.4242401123046875,0.1367451697587967,0.12399578094482422,0.12464708089828491,0.9587874412536621,0.22052709758281708,0.3073076009750366,0.8817901611328125,0.6120259165763855,0.7539255619049072,0.7843398451805115,0.7582246661186218
5,0.005000000000000001,0.18728508055210114,0.2549162209033966,0.8975213170051575,0.6210183501243591,0.8484158515930176,0.7166913151741028,0.7651172280311584,4.658536434173584,0.1799020767211914,0.12050230801105499,0.1224532276391983,0.8822493553161621,0.2149968147277832,0.2549162209033966,0.8975213170051575,0.6210183501243591,0.8484158515930176,0.7166913151741028,0.7651172280311584
6,0.004000000000000001,0.1774318814277649,0.3531816899776459,0.8954760432243347,0.646610677242279,0.7955169081687927,0.7955545783042908,0.7839108109474182,10.64074993133545,0.13110758364200592,0.1273021399974823,0.12738396227359772,0.994953453540802,0.2257625162601471,0.3531816899776459,0.8954760432243347,0.646610677242279,0.7955169081687927,0.7955545783042908,0.7839108109474182
7,0.0030000000000000014,0.17424701154232025,0.2865942418575287,0.9040858149528503,0.6758332848548889,0.8007195591926575,0.830746591091156,0.804875910282135,8.820219039916992,0.13058963418006897,0.1270156055688858,0.1271284818649292,0.9929131269454956,0.22530877590179443,0.2865942418575287,0.9040858149528503,0.6758332848548889,0.8007195591926575,0.830746591091156,0.804875910282135
8,0.002,0.162300705909729,0.24288387596607208,0.9053567051887512,0.6698958873748779,0.8262739181518555,0.7977880835533142,0.800665557384491,7.309101104736328,0.13413578271865845,0.12474417686462402,0.12524375319480896,0.9683036804199219,0.22171024978160858,0.24288387596607208,0.9053567051887512,0.6698958873748779,0.8262739181518555,0.7977880835533142,0.800665557384491
9,0.001,0.16039949655532837,0.26741039752960205,0.9058697819709778,0.6749818921089172,0.8211734890937805,0.809621274471283,0.8041955828666687,8.543065071105957,0.13008849322795868,0.12579983472824097,0.12607640027999878,0.9824568629264832,0.22338652610778809,0.26741039752960205,0.9058697819709778,0.6749818921089172,0.8211734890937805,0.809621274471283,0.8041955828666687
